food_id,name,cal_per_100g,type
10001,Rice (Cooked),133,Carbohydrates
10002,"Rice (polished, steamed)",133,Carbohydrates
10003,Rice porridge (medium viscosity),64,Carbohydrates
10004,"Rice (glutinous, polished, steamed)",228,Carbohydrates
10005,"Rice (boiled, water 42%)",58,Carbohydrates
10006,"Rice (white, cooked)",130,Carbohydrates
10007,"Rice (brown, cooked)",111,Carbohydrates
10008,"Rice (parboiled, cooked)",123,Carbohydrates
10009,"Rice (Basmati, cooked)",121,Carbohydrates
10010,"Rice (Jasmine, cooked)",129,Carbohydrates
10011,"Rice (red, cooked)",123,Carbohydrates
10012,"Rice (black, cooked)",135,Carbohydrates
10013,Instant Noodles,457,Carbohydrates
10014,"Noodles (rice, vermicelli, soaked)",166,Carbohydrates
10015,"Noodles (rice, small size, fresh)",220,Carbohydrates
10016,"Noodle (mungbean, soaked)",169,Carbohydrates
10017,Potatoes (Boiled),80,Carbohydrates
10018,Bread,230,Carbohydrates
10019,Rice (White Boiled),120,Carbohydrates
10020,Cornflakes with Milk,205,Carbohydrates
10021,Wheat Bran,200,Carbohydrates
10022,Bajra,360,Carbohydrates
10023,Maize Flour,355,Carbohydrates
10024,Wheat Flour,341,Carbohydrates
10025,1 Medium Chapatti,238,Carbohydrates
10026,1 Slice White Bread,240,Carbohydrates
10027,1 Paratha (no filling),560,Carbohydrates
10028,Sugar (1 tbsp),48,Carbohydrates
10029,Honey (1 tbsp),90,Carbohydrates
10030,Chinese Roll (100g),175,Carbohydrates
10031,Dhal Wade (50g),200,Carbohydrates
10032,1 Bun (50g),310,Carbohydrates
10033,Chocolate Cake (40g),358,Carbohydrates
10034,1 tbsp Pol Sambol,90,Carbohydrates
10035,1 Slice of Pittu (50g),282,Carbohydrates
10036,6 String Hoppers (75g),213,Carbohydrates
10037,1 Thosai (50g),160,Carbohydrates
10038,1 Pizza (100g),271,Carbohydrates
10039,Medium Size Rotti (50g),342,Carbohydrates
10040,1 Hopper (50g),100,Carbohydrates
10041,Buttermilk,19,Carbohydrates
10042,Millet (cooked),119,Carbohydrates
10043,Sorghum (cooked),120,Carbohydrates
10044,Barley (cooked),123,Carbohydrates
10045,Corn (cooked),96,Carbohydrates
10046,Polenta (cooked),70,Carbohydrates
10047,Sweet Potatoes (cooked),90,Carbohydrates
10048,Taro (cooked),142,Carbohydrates
10049,Cassava (cooked),160,Carbohydrates
10050,Yam (cooked),118,Carbohydrates
10051,Arrowroot (cooked),100,Carbohydrates
10052,Tapioca (cooked),98,Carbohydrates
10053,Plantains (cooked),122,Carbohydrates
20001,"Pork (tenderloin, raw)",116,Protein
20002,"Pork (meatball, blanched)",140,Protein
20003,"Pork (loin, whole, lean, raw)",149,Protein
20004,"Pork (liver, raw)",124,Protein
20005,"Pork (blood, cooked)",49,Protein
20006,"Pork (spare ribs, raw)",208,Protein
20007,"Pork (minced, raw)",229,Protein
20008,"Fish (Striped snake-head, raw)",109,Protein
20009,"Fish (Short-bodied mackerel, steamed)",137,Protein
20010,"Fish (Short-bodied mackerel, raw)",122,Protein
20011,"Fish (Nile tilapia, raw)",87,Protein
20012,"Fish (Gunther’s walking catfish, raw)",209,Protein
20013,"Fish (fermented/Pla-ra, liquid)",14,Protein
20014,Fish (fermented/Pla-ra),102,Protein
20015,"Fish (Batrachian walking catfish, raw)",117,Protein
20016,"Egg (hen, whole, raw)",133,Protein
20017,"Egg (hen, yolk, raw)",336,Protein
20018,"Chicken (thigh, raw)",212,Protein
20019,"Chicken (meat, raw)",186,Protein
20020,"Chicken (liver, all classes, raw)",114,Protein
20021,"Chicken (blood, cooked)",29,Protein
